strategy,secret,num_guesses,solved
MaxProb,chila,5,1
MaxProb,amecn,5,1
MaxProb,jcbma,3,1
MaxProb,hicks,5,1
MaxProb,gorda,4,1
MaxProb,dadis,4,1
MaxProb,cddvd,4,1
MaxProb,theys,6,1
MaxProb,buick,4,1
MaxProb,worku,6,0
Random,chila,5,1
Random,amecn,4,1
Random,jcbma,5,1
Random,hicks,6,0
Random,gorda,5,1
Random,dadis,6,0
Random,cddvd,5,1
Random,theys,4,1
Random,buick,5,1
Random,worku,4,1
ReverseAlpha_gabonavarroo,chila,6,0
ReverseAlpha_gabonavarroo,amecn,5,1
ReverseAlpha_gabonavarroo,jcbma,6,0
ReverseAlpha_gabonavarroo,hicks,6,0
ReverseAlpha_gabonavarroo,gorda,6,0
ReverseAlpha_gabonavarroo,dadis,6,0
ReverseAlpha_gabonavarroo,cddvd,6,0
ReverseAlpha_gabonavarroo,theys,3,1
ReverseAlpha_gabonavarroo,buick,6,1
ReverseAlpha_gabonavarroo,worku,4,1
